t;e;i;d;set
9.450000000000001;394.0;0.5;1.0;0
9.453000000000001;395.0;0.5;1.0;0
9.456000000000001;396.0;0.5;1.0;0
9.459;397.0;0.5;1.0;0
9.462;398.0;0.5;1.0;0
9.465;398.0;0.5;1.0;0
9.468;399.0;0.5;1.0;0
9.471;-400.0;-0.5;1.0;0
9.474;-399.0;-0.5;1.0;0
9.477;-398.0;-0.5;1.0;0
9.48;-397.0;-0.5;1.0;0
9.483;-397.0;-0.5;1.0;0
9.486;-396.0;-0.5;1.0;0
9.489;-395.0;-0.5;1.0;0
9.492;-394.0;-0.5;1.0;0
9.495000000000001;-393.0;-0.5;1.0;0
9.498000000000001;-393.0;-0.5;1.0;0
9.501000000000001;-392.0;-0.5;1.0;0
9.504000000000001;-391.0;-0.5;1.0;0
9.507;-390.0;-0.5;1.0;0
9.51;-390.0;-0.5;1.0;0
9.513;-389.0;-0.5;1.0;0
9.516;-388.0;-0.5;1.0;0
9.519;-388.0;-0.5;1.0;0
9.522;-387.0;-0.5;1.0;0
9.525;-387.0;-0.5;1.0;0
9.528;-386.0;-0.5;1.0;0
9.531;-386.0;-0.5;1.0;0
9.534;-385.0;-0.5;1.0;0
9.537;-385.0;-0.5;0.0;0
9.540000000000001;-384.0;-0.5;0.0;0
9.543000000000001;-384.0;-0.5;0.0;0
9.546000000000001;-383.0;-0.5;0.0;0
9.549000000000001;-383.0;-0.5;0.0;0
9.552;-382.0;-0.5;0.0;0
9.555;-382.0;-0.5;0.0;0
9.558;-382.0;-0.5;0.0;0
9.561;-382.0;-0.5;0.0;0
9.564;-381.0;-0.5;0.0;0
9.567;-381.0;-0.5;0.0;0
9.57;-381.0;-0.5;0.0;0
9.573;-381.0;-0.5;0.0;0
9.576;-381.0;-0.5;0.0;0
9.579;-381.0;-0.5;0.0;0
9.582;-381.0;-0.5;0.0;0
9.585;-381.0;-0.5;0.0;0
9.588000000000001;-381.0;-0.5;0.0;0
9.591000000000001;-381.0;-0.5;0.0;0
9.594000000000001;-381.0;-0.5;0.0;0
9.597000000000001;-381.0;-0.5;0.0;0
9.6;-381.0;-0.5;0.0;0
9.603;-381.0;-0.5;0.0;0
9.606;-382.0;-0.5;0.0;0
9.609;-382.0;-0.5;0.0;0
9.612;-382.0;-0.5;0.0;0
9.615;-382.0;-0.5;0.0;0
9.618;-383.0;-0.5;0.0;0
9.621;-383.0;-0.5;0.0;0
9.624;-384.0;-0.5;0.0;0
9.627;-384.0;-0.5;0.0;0
9.63;-384.0;-0.5;0.0;0
9.633000000000001;-385.0;-0.5;0.0;0
9.636000000000001;-385.0;-0.5;0.0;0
9.639000000000001;-386.0;-0.5;0.0;0
9.642000000000001;-386.0;-0.5;0.0;0
9.645000000000001;-387.0;-0.5;0.0;0
9.648;-388.0;-0.5;0.0;0
9.651;-388.0;-0.5;0.0;0
9.654;-389.0;-0.5;0.0;0
9.657;-389.0;-0.5;0.0;0
9.66;-390.0;-0.5;0.0;0
9.663;-391.0;-0.5;0.0;0
9.666;-391.0;-0.5;0.0;0
