tiempo;error;integral;derivada
20121;-1;-10000;2
20127;-1;-10000;2
20133;-1;-10000;2
20139;-1;-10000;2
20169;-1;-10000;2
20175;-1;-10000;2
20181;-1;-10000;2
20187;-1;-10000;2
20193;-1;-10000;2
20199;-1;-10000;2
20205;-1;-10000;2
20211;-1;-10000;2
20217;-1;-10000;2
20223;-1;-10000;2
20229;-1;-10000;2
20235;-1;-10000;2
20241;-1;-10000;2
20247;-1;-10000;2
20253;-1;-10000;2
20259;-1;-10000;2
20265;-1;-10000;2
20271;-1;-10000;2
20277;-1;-10000;2
20283;-1;-10000;2
20289;-1;-10000;2
20295;-1;-10000;2
20301;-1;-10000;2
20307;-1;-10000;2
20313;-1;-10000;2
20319;-1;-10000;2
20325;-1;-10000;2
20331;-1;-10000;2
20337;-1;-10000;2
20343;-1;-10000;2
20349;-1;-10000;2
20355;-1;-10000;2
20361;-1;-10000;2
20367;-1;-10000;2
20373;-1;-10000;2
20379;-1;-10000;2
20385;-1;-10000;2
20391;-1;-10000;2
20397;-1;-10000;2
20403;-1;-10000;2
20409;-1;-10000;2
20415;-1;-10000;2
20421;-1;-10000;2
20427;-1;-10000;2
20433;-1;-10000;2
20439;-1;-10000;2
20445;-1;-10000;2
20451;-1;-10000;2
20457;-1;-10000;2
20463;-1;-10000;2
20469;-1;-10000;2
20475;-1;-10000;2
20481;-1;-10000;2
20487;-1;-10000;2
20493;-1;-10000;1
20499;-1;-10000;1
20505;-1;-10000;1
20511;-1;-10000;1
20517;-1;-10000;1
20523;-1;-10000;1
20529;-1;-10000;1
20535;-1;-10000;1
20541;-1;-10000;1
20547;-1;-10000;1
20553;-1;-10000;1
20559;-1;-10000;1
20565;-1;-10000;1
20571;-1;-10000;1
20577;-1;-10000;1
20583;-1;-10000;1
20589;-1;-10000;1
20595;-1;-10000;1
20601;-1;-10000;1
20610;-1;-10000;1
20616;-1;-10000;1
20622;-1;-10000;1
20628;-1;-10000;1
20634;-1;-10000;1
20640;-1;-10000;1
20646;-1;-10000;1
20652;-1;-10000;1
20658;-1;-10000;1
20664;-1;-10000;1
20670;-1;-10000;1
20676;-1;-10000;1
20682;-1;-10000;1
20688;-1;-10000;1
20694;-1;-10000;1
20700;-1;-10000;1
20706;-1;-10000;1
20712;-1;-10000;1
20718;-1;-10000;1
20724;-1;-10000;1
20730;-1;-10000;1
20736;-1;-10000;1
20742;-1;-10000;1
20748;-1;-10000;1
20754;-1;-10000;1
20778;-1;-10000;1
20784;-1;-10000;1
20790;-1;-10000;1
20796;-1;-10000;1
20802;-1;-10000;1
20808;-1;-10000;1
20814;-1;-10000;1
20817;-1;-10000;1
20823;-1;-10000;1
20829;-1;-10000;1
20835;-1;-10000;1
20841;-1;-10000;1
20847;-1;-10000;1
20856;-1;-10000;1
