tiempo;error;tiempoDev;derivada
57224;723;1;-500
57274;619;1;-600
57324;439;1;-1400
57374;187;1;-1500
57424;-101;1;-2300
57474;-346;1;-1500
57524;-555;1;-1300
57574;-678;1;-500
57624;-734;5;-120
57674;-728;5;120
57724;-655;2;600
57774;-529;2;650
57824;-323;1;1500
57874;-70;1;1600
57924;195;1;1600
57974;411;1;700
58024;587;1;600
58074;673;2;300
58124;701;10;60
58174;673;2;-250
58224;581;1;-600
58274;418;1;-1400
58324;195;1;-1500
58374;-47;1;-1600
58424;-286;1;-1500
58474;-481;1;-700
58524;-606;1;-600
58574;-667;4;-150
58624;-667;4;150
58674;-612;1;700
58724;-481;1;700
58774;-301;1;1500
58824;-70;1;1600
58874;164;1;1600
58924;375;1;1500
58974;529;1;1400
59024;612;2;300
59074;643;9;66
59124;619;3;-200
59174;529;2;-650
59224;368;1;-700
59274;179;1;-1600
59324;-54;1;-1500
59374;-271;1;-1500
59424;-446;1;-1400
59474;-555;1;-600
59524;-606;4;-150
59574;-606;13;46
59624;-542;1;700
59674;-418;1;1400
59724;-248;1;1500
59774;-47;1;1500
59824;171;1;1500
59874;346;1;800
59924;474;3;466
59974;562;3;233
60024;581;13;46
60074;549;3;-200
60124;446;2;-700
60174;309;1;-700
60224;117;1;-1600
60274;-86;1;-1600
60324;-271;1;-800
60374;-418;1;-700
60424;-515;2;-650
60474;-555;4;-150
60524;-542;7;100
60574;-467;2;350
60624;-353;1;700
60674;-187;1;1500
60724;7;1;1400
60774;179;1;800
60824;346;1;800
60874;446;2;350
60924;515;3;200
60974;515;11;-63
61024;474;2;-350
61074;375;1;-700
61124;233;1;-800
61174;54;1;-1600
61224;-117;1;-1600
61274;-278;1;-700
61324;-404;1;-700
61374;-467;4;-175
61424;-488;13;-53
61474;-460;3;233
61524;-382;1;700
61574;-263;1;800
61624;-101;1;1600
61674;54;1;700
61724;218;1;800
61774;346;2;400
61824;425;2;350
61874;460;8;87
61924;446;2;-350
61974;389;1;-800
62024;286;2;-750
62074;140;1;-800
62124;-7;1;-700
62174;-164;1;-800
62224;-301;1;-700
62274;-389;1;-700
62324;-432;6;-116
62374;-432;15;46
62424;-389;2;400
62474;-301;1;800
62524;-179;1;800
62574;-39;1;800
62624;109;1;800
62674;241;1;800
62724;346;1;800
62774;389;5;140
62824;404;16;43
62874;375;2;-350
62924;309;2;-350
62974;195;1;-700
63024;70;1;-800
63074;-70;1;-800
63124;-202;1;-700
63174;-309;1;-800
63224;-368;3;-266
63274;-389;10;-70
63324;-368;4;175
63374;-316;3;233
63424;-218;1;700
63474;-101;2;800
63524;31;1;800
63574;156;1;800
63624;248;2;350
63674;331;1;800
63724;360;6;116
63774;346;5;-140
63824;309;4;-175
63874;225;2;-400
63924;117;1;-800
63974;0;2;-350
64024;-125;2;-400
64074;-225;2;-350
64124;-294;3;-266
64174;-331;8;-100
64224;-331;14;50
64274;-301;3;266
64324;-233;2;400
64374;-140;2;400
64424;-31;2;400
64474;86;1;800
64524;179;1;800
64574;256;2;400
64624;301;5;140
64674;309;18;44
64724;286;4;-200
64774;225;1;-800
64824;148;1;-800
64874;47;2;-350
64924;-54;2;-350
64974;-148;2;-400
65024;-233;2;-400
65074;-278;4;-175
65124;-294;12;-66
65174;-278;10;80
65224;-225;1;800
65274;-156;2;400
65324;-70;2;400
65374;23;2;400
65424;117;1;800
65474;187;3;266
65524;241;4;200
65574;263;11;63
65624;256;19;-36
65674;218;4;-175
65724;156;2;-400
65774;78;2;-400
65824;-7;2;-350
65874;-101;1;-700
65924;-164;3;-266
65974;-218;5;-160
66024;-241;10;-80
66074;-241;13;53
66124;-210;3;266
66174;-156;3;266
66224;-94;2;350
66274;-7;1;800
66324;62;2;400
66374;133;2;400
66424;179;5;160
66474;210;8;100
66524;210;9;-88
66574;195;8;-87
66624;148;3;-266
66674;86;1;-800
66724;23;3;-266
66774;-47;3;-266
66824;-117;3;-266
66874;-164;4;-200
66924;-195;5;-160
66974;-202;18;-38
67024;-179;4;200
67074;-148;3;266
67124;-101;3;266
67174;-39;4;200
67224;23;4;200
67274;86;2;400
67324;133;4;200
67374;164;4;200
67424;171;17;41
67474;164;27;-25
67524;133;4;-175
67574;94;4;-175
67624;39;3;-266
67674;-15;4;-200
67724;-70;3;-266
67774;-117;5;-160
67824;-148;6;-133
67874;-156;18;-44
67924;-148;24;33
67974;-133;8;87
68024;-94;4;175
68074;-47;5;140
68124;7;2;350
68174;47;5;160
68224;86;6;133
68274;117;6;133
68324;133;12;66
68374;133;29;27
68424;109;9;-88
68474;86;8;-100
68524;39;3;-266
68574;0;4;-175
68624;-39;4;-200
68674;-78;5;-160
68724;-101;8;-87
68774;-117;15;-53
68824;-117;32;-25
68874;-101;9;88
68924;-78;8;100
68974;-47;8;87
69024;-7;3;266
69074;23;3;266
69124;54;4;175
69174;70;10;80
69224;86;14;57
69274;86;31;25
69324;78;40;-20
69374;62;10;-80
69424;39;8;-100
69474;7;6;-133
69524;-23;4;-200
69574;-47;7;-114
69624;-62;12;-66
69674;-70;18;-44
69724;-70;9;88
69774;-70;26;30
69824;-54;10;80
69874;-39;8;100
69924;-23;9;88
69974;0;8;87
70024;15;12;66
70074;31;14;57
70124;47;16;50
70174;47;33;24
70224;47;15;-46
70274;39;22;-36
70324;31;22;-36
70374;15;16;-50
70424;0;14;-50
70474;-15;15;-53
70524;-23;21;-38
70574;-39;14;-57
70624;-39;31;-25
70674;-39;47;-17
70724;-31;56;14
70774;-23;20;40
70824;-15;26;30
70874;-7;22;36
70924;7;11;63
70974;7;27;25
71024;15;35;22
71074;23;29;27
71124;23;46;17
71174;15;40;-20
71224;7;25;-32
71274;7;41;-19
71324;0;35;-20
71374;-7;23;-30
71424;-7;39;-17
71474;-15;42;-19
71524;-15;59;-13
71574;-7;1;800
71624;-7;17;47
71674;-7;34;23
71724;-7;50;16
71774;-7;67;11
71824;-7;84;9
71874;-7;100;8
71924;-7;117;6
71974;-7;134;5
72024;-7;150;5
72074;-7;167;4
72124;-7;184;4
72174;-7;200;4
72224;-7;217;3
