tiempo;angulo;integral;derivada
24030;-16;-50;0
24039;-16;-50;0
24045;-17;-50;0
24051;-17;-50;0
24057;-17;-50;0
24063;-17;-50;0
24066;-17;-50;0
24075;-17;-50;0
24081;-16;-50;0
24087;-16;-50;0
24093;-16;-50;0
24099;-16;-50;0
24108;-16;-50;0
24117;-15;-50;0
24123;-15;-50;0
24129;-15;-50;0
24135;-15;-50;0
24141;-14;-50;0
24147;-14;-50;0
24153;-13;-50;0
24159;-13;-50;0
24165;-13;-50;0
24171;-12;-50;0
24177;-11;-50;0
24183;-11;-50;0
24189;-11;-50;0
24195;-10;-50;0
24201;-10;-50;0
24207;-9;-50;0
24213;-9;-50;0
24219;-8;-50;0
24225;-7;-50;0
24231;-7;-50;0
24237;-6;-50;0
24243;-6;-50;0
24249;-5;-50;0
24255;-5;-50;0
24261;-4;-50;0
24267;-3;-50;0
24273;-3;-50;0
24279;-2;-50;0
24285;-2;-50;0
24291;-1;-50;0
24297;-1;-50;0
24303;0;-50;0
24309;1;-43;0
24315;1;-29;0
24321;1;-15;0
24330;3;30;0
24336;3;50;0
24342;3;50;0
24348;4;50;0
24354;5;50;0
24357;5;50;0
24363;5;50;0
24369;6;50;0
24375;7;50;0
24381;7;50;0
24387;7;50;0
24393;8;50;0
24399;9;50;0
24402;9;50;0
24408;9;50;0
24414;9;50;0
24420;10;50;0
24426;10;50;0
24432;10;50;0
24438;11;50;0
24444;11;50;0
24447;11;50;0
24453;11;50;0
24459;11;50;0
24465;12;50;0
24471;12;50;0
24477;12;50;0
24480;12;50;0
24486;13;50;0
24492;13;50;0
24498;13;50;0
24504;13;50;0
24510;13;50;0
24516;13;50;0
24522;13;50;0
24525;13;50;0
24531;13;50;0
24537;13;50;0
24543;13;50;0
24552;13;50;0
24558;13;50;0
24564;12;50;0
24570;12;50;0
24576;12;50;0
24582;12;50;0
24588;11;50;0
24594;11;50;0
24600;11;50;0
24606;11;50;0
24612;10;50;0
24621;10;50;0
24627;9;50;0
24633;9;50;0
24639;9;50;0
24645;9;50;0
24654;8;50;0
24660;7;50;0
24666;7;50;0
24672;7;50;0
24678;6;50;0
24684;6;50;0
24690;5;50;0
24699;5;50;0
24705;4;50;0
24711;3;50;0
24717;3;50;0
24723;3;50;0
24729;2;50;0
24735;2;50;0
24744;1;50;0
24756;0;50;0
24762;0;50;0
24768;-1;36;0
24774;-1;22;0
24780;-2;0;0
24786;-2;-30;0
24792;-3;-50;0
24801;-3;-50;0
24807;-3;-50;0
24813;-4;-50;0
24819;-5;-50;0
24825;-5;-50;0
24834;-5;-50;0
24840;-6;-50;0
24846;-6;-50;0
24852;-7;-50;0
24858;-7;-50;0
24864;-7;-50;0
