tiempo;angulo;tiempoDev;derivada
21453;169;104;1
21459;169;104;1
21465;169;104;1
21471;169;104;1
21477;169;104;1
21483;169;104;1
21489;169;104;1
21495;169;104;1
21501;169;104;1
21507;169;104;1
21513;169;104;1
21519;169;104;1
21525;170;226;0
21531;170;226;0
21537;170;226;0
21543;170;226;0
21549;170;226;0
21555;170;226;0
21561;170;226;0
21567;170;226;0
21573;170;226;0
21579;170;226;0
21585;170;226;0
21591;170;226;0
21600;170;226;0
21606;170;226;0
21612;170;226;0
21615;170;226;0
21621;170;226;0
21627;170;226;0
21633;170;226;0
21639;170;226;0
21645;170;226;0
21648;170;226;0
21654;170;226;0
21669;170;226;0
21672;170;226;0
21678;170;226;0
21684;170;226;0
21690;170;226;0
21789;171;178;1
21795;171;178;1
21801;171;178;1
21807;171;178;1
21813;171;178;1
21822;171;178;1
21828;171;178;1
21834;171;178;1
21840;171;178;1
21846;171;178;1
21852;171;178;1
21858;171;178;1
21864;171;178;1
21870;171;178;1
21879;171;178;1
21885;171;178;1
21891;171;178;1
21897;171;178;1
21903;171;178;1
21906;171;178;1
21912;171;178;1
21918;171;178;1
21924;171;178;1
21930;171;178;1
21936;171;178;1
21942;171;178;1
21948;171;178;1
21954;171;178;1
21960;171;178;1
21969;171;178;1
21975;171;178;1
21981;171;178;1
21990;171;178;1
21996;171;178;1
22002;171;178;1
22008;171;178;1
22014;171;178;1
22020;171;178;1
22026;171;178;1
22035;171;178;1
22041;171;178;1
22047;171;178;1
22053;171;178;1
22059;171;178;1
22065;171;178;1
22071;171;178;1
22080;171;178;1
22086;171;178;1
22092;171;178;1
22098;171;178;1
22104;171;178;1
22110;171;178;1
22116;171;178;1
22125;171;178;1
22131;171;178;1
22137;171;178;1
22143;171;178;1
22149;171;178;1
22158;171;178;1
22164;171;178;1
22170;171;178;1
22176;171;178;1
22182;171;178;1
22194;171;178;1
22203;171;178;1
22209;171;178;1
22215;171;178;1
22221;171;178;1
22227;171;178;1
22233;171;178;1
22239;171;178;1
22242;171;178;1
22248;171;178;1
22254;171;178;1
22260;171;178;1
22266;171;178;1
22272;171;178;1
22278;171;178;1
22284;171;178;1
22290;171;178;1
22296;171;178;1
22305;171;178;1
22311;171;178;1
22317;171;178;1
22323;171;178;1
22329;171;178;1
22335;171;178;1
22341;171;178;1
22344;171;178;1
22350;171;178;1
22356;171;178;1
22362;171;178;1
22368;171;178;1
22374;171;178;1
22377;171;178;1
22383;171;178;1
22389;171;178;1
22395;171;178;1
22401;171;178;1
22407;171;178;1
22416;171;178;1
22422;171;178;1
22428;171;178;1
22434;171;178;1
22440;171;178;1
22446;171;178;1
22452;171;178;1
22455;171;178;1
22458;171;178;1
22464;171;178;1
22473;171;178;1
22479;171;178;1
22485;171;178;1
22491;171;178;1
22497;171;178;1
22503;171;178;1
22509;171;178;1
22515;171;178;1
22521;171;178;1
22527;171;178;1
22533;171;178;1
22539;171;178;1
22545;171;178;1
22551;171;178;1
22557;171;178;1
22563;171;178;1
22569;171;178;1
22575;171;178;1
22578;171;178;1
22584;171;178;1
22590;171;178;1
22596;171;178;1
22602;171;178;1
22608;171;178;1
22614;171;178;1
22620;171;178;1
22626;171;178;1
22632;171;178;1
22641;171;178;1
22647;171;178;1
22653;171;178;1
22659;171;178;1
22665;171;178;1
22674;171;178;1
22680;171;178;1
22686;171;178;1
22692;171;178;1
22698;171;178;1
22704;171;178;1
22710;171;178;1
22719;171;178;1
22725;171;178;1
22731;171;178;1
22737;171;178;1
22743;171;178;1
22752;171;178;1
22758;171;178;1
22764;171;178;1
22770;171;178;1
22776;171;178;1
22782;171;178;1
22788;171;178;1
22791;171;178;1
22797;171;178;1
22803;171;178;1
22809;171;178;1
22815;171;178;1
22821;171;178;1
22827;171;178;1
22833;171;178;1
22836;171;178;1
22842;171;178;1
22848;171;178;1
22854;171;178;1
22860;171;178;1
22866;171;178;1
22872;171;178;1
22878;171;178;1
22887;171;178;1
22893;171;178;1
22899;171;178;1
22905;171;178;1
22911;171;178;1
22917;171;178;1
22923;171;178;1
22929;171;178;1
22935;171;178;1
22941;171;178;1
22947;171;178;1
22953;171;178;1
22959;171;178;1
22965;171;178;1
22971;171;178;1
22977;171;178;1
22989;171;178;1
22995;171;178;1
23001;171;178;1
23004;171;178;1
23010;171;178;1
23016;171;178;1
23022;171;178;1
23028;171;178;1
23034;171;178;1
23040;171;178;1
23046;171;178;1
23052;171;178;1
23058;171;178;1
23067;171;178;1
23073;171;178;1
23079;171;178;1
23085;171;178;1
23091;171;178;1
23100;171;178;1
23106;171;178;1
23112;171;178;1
23118;171;178;1
23124;171;178;1
23133;171;178;1
23139;171;178;1
23145;171;178;1
23151;171;178;1
23157;171;178;1
23163;171;178;1
23169;171;178;1
23172;171;178;1
23178;171;178;1
23184;171;178;1
23190;171;178;1
23196;171;178;1
23202;171;178;1
23205;171;178;1
23211;171;178;1
23217;171;178;1
23223;171;178;1
23229;171;178;1
23235;171;178;1
23241;171;178;1
23247;171;178;1
23256;171;178;1
