tiempo;error;integral;derivada;setPoint
21180;-3;-1499;0;1020;
21186;-3;-1499;0;1020;
21192;-3;-1499;0;1020;
21198;-3;-1499;0;1020;
21204;-3;-1499;0;1020;
21210;-3;-1499;0;1020;
21216;-3;-1499;0;1020;
21222;-3;-1499;0;1020;
21228;-3;-1499;0;1020;
21234;-3;-1499;0;1020;
21240;-3;-1499;0;1020;
21246;-3;-1499;0;1020;
21252;-3;-1499;0;1020;
21258;-3;-1499;0;1020;
21264;-3;-1499;0;1020;
21270;-3;-1499;0;1020;
21276;-3;-1499;0;1020;
21282;-3;-1499;0;1020;
21288;-3;-1499;0;1020;
21294;-3;-1499;0;1020;
21300;-3;-1499;0;1020;
21306;-3;-1499;0;1020;
21312;-3;-1499;0;1020;
21318;-3;-1499;0;1020;
21324;-3;-1499;0;1020;
21330;-3;-1499;0;1020;
21336;-3;-1499;0;1020;
21342;-3;-1499;0;1020;
21348;-3;-1499;0;1020;
21354;-3;-1499;0;1020;
21360;-3;-1499;0;1020;
21366;-3;-1499;0;1020;
21375;-3;-1499;0;1020;
21381;-3;-1499;0;1020;
21387;-3;-1499;0;1020;
21393;-3;-1499;0;1020;
21399;-3;-1499;0;1020;
21408;-3;-1499;0;1020;
21414;-3;-1499;0;1020;
21420;-3;-1499;0;1020;
21423;-3;-1499;0;1020;
21429;-3;-1499;0;1020;
21435;-3;-1499;0;1020;
21441;-3;-1499;0;1020;
21447;-3;-1499;0;1020;
21453;-3;-1499;0;1020;
21459;-3;-1499;0;1020;
21465;-3;-1499;0;1020;
21471;-3;-1499;0;1020;
21477;-3;-1499;0;1020;
21483;-3;-1499;0;1020;
21489;-3;-1499;0;1020;
21495;-3;-1499;0;1020;
21501;-3;-1499;0;1020;
21507;-3;-1499;0;1020;
21513;-3;-1499;0;1020;
21519;-3;-1499;0;1020;
21525;-3;-1499;0;1020;
21531;-3;-1499;0;1020;
21537;-3;-1499;0;1020;
21543;-3;-1499;0;1020;
21549;-3;-1499;0;1020;
21555;-3;-1499;0;1020;
21561;-3;-1499;0;1020;
21567;-3;-1499;0;1020;
21573;-3;-1499;0;1020;
21579;-3;-1499;0;1020;
21585;-3;-1499;0;1020;
21591;-3;-1499;0;1020;
21597;-3;-1499;0;1020;
21603;-3;-1499;0;1020;
21609;-3;-1499;0;1020;
21615;-3;-1499;0;1020;
21621;-3;-1499;0;1020;
21627;-3;-1499;0;1020;
21633;-3;-1499;0;1020;
21639;-3;-1499;0;1020;
21645;-3;-1499;0;1020;
21651;-3;-1499;0;1020;
21657;-3;-1499;0;1020;
21663;-3;-1499;0;1020;
21669;-3;-1499;0;1020;
21675;-3;-1499;0;1020;
21681;-3;-1499;0;1020;
21687;-3;-1499;0;1020;
21693;-3;-1499;0;1020;
21699;-3;-1499;0;1020;
21705;-3;-1499;0;1020;
21711;-3;-1499;0;1020;
21717;-3;-1499;0;1020;
21723;-3;-1499;0;1020;
21729;-3;-1499;0;1020;
21735;-3;-1499;0;1020;
21741;-3;-1499;0;1020;
21747;-3;-1499;0;1020;
21753;-3;-1499;0;1020;
21816;-3;-1499;0;1020;
21822;-3;-1499;0;1020;
21828;-3;-1499;0;1020;
21834;-3;-1499;0;1020;
21840;-3;-1499;0;1020;
21846;-3;-1499;0;1020;
21852;-3;-1499;0;1020;
21858;-3;-1499;0;1020;
21864;-3;-1499;0;1020;
21870;-3;-1499;0;1020;
21876;-3;-1499;0;1020;
21882;-3;-1499;0;1020;
21888;-3;-1499;0;1020;
21894;-3;-1499;0;1020;
21900;-3;-1499;0;1020;
21906;-3;-1499;0;1020;
21912;-3;-1499;0;1020;
21918;-3;-1499;0;1020;
21924;-3;-1499;0;1020;
21930;-3;-1499;0;1020;
21936;-3;-1499;0;1020;
21942;-3;-1499;0;1020;
21948;-3;-1499;0;1020;
21954;-3;-1499;0;1020;
21960;-3;-1499;0;1020;
21966;-3;-1499;0;1020;
21972;-3;-1499;0;1020;
21978;-3;-1499;0;1020;
21984;-3;-1499;0;1020;
21990;-3;-1499;0;1020;
21996;-3;-1499;0;1020;
22002;-3;-1499;0;1020;
22008;-3;-1499;0;1020;
22014;-3;-1499;0;1020;
22023;-3;-1499;0;1020;
22029;-3;-1499;0;1020;
22035;-3;-1499;0;1020;
22041;-3;-1499;0;1020;
22047;-3;-1499;0;1020;
22053;-3;-1499;0;1020;
22059;-3;-1499;0;1020;
22065;-3;-1499;0;1020;
22071;-3;-1499;0;1020;
22077;-3;-1499;0;1020;
22083;-3;-1499;0;1020;
22089;-3;-1499;0;1020;
22095;-3;-1499;0;1020;
22101;-3;-1499;0;1020;
22107;-3;-1499;0;1020;
22113;-3;-1499;0;1020;
22119;-3;-1499;0;1020;
22125;-3;-1499;0;1020;
22131;-3;-1499;0;1020;
22137;-3;-1499;0;1020;
22143;-3;-1499;0;1020;
22149;-3;-1499;0;1020;
22155;-3;-1499;0;1020;
22161;-3;-1499;0;1020;
22167;-3;-1499;0;1020;
22173;-3;-1499;0;1020;
22179;-3;-1499;0;1020;
22185;-3;-1499;0;1020;
22191;-3;-1499;0;1020;
22197;-3;-1499;0;1020;
22203;-3;-1499;0;1020;
22209;-3;-1499;0;1020;
22215;-3;-1499;0;1020;
22221;-3;-1499;0;1020;
22227;-3;-1499;0;1020;
22233;-3;-1499;0;1020;
22239;-3;-1499;0;1020;
22245;-3;-1499;0;1020;
22251;-3;-1499;0;1020;
22257;-3;-1499;0;1020;
22263;-3;-1499;0;1020;
22269;-3;-1499;0;1020;
22275;-3;-1499;0;1020;
22281;-3;-1499;0;1020;
22287;-3;-1499;0;1020;
22293;-3;-1499;0;1020;
22299;-3;-1499;0;1020;
22305;-3;-1499;0;1020;
22311;-3;-1499;0;1020;
22317;-3;-1499;0;1020;
22323;-3;-1499;0;1020;
22329;-3;-1499;0;1020;
22335;-3;-1499;0;1020;
22341;-3;-1499;0;1020;
22347;-3;-1499;0;1020;
22353;-3;-1499;0;1020;
22359;-3;-1499;0;1020;
22365;-3;-1499;0;1020;
22371;-3;-1499;0;1020;
22377;-3;-1499;0;1020;
22383;-3;-1499;0;1020;
22389;-3;-1499;0;1020;
22395;-3;-1499;0;1020;
22398;-3;-1499;0;1020;
22404;-3;-1499;0;1020;
22410;-3;-1499;0;1020;
22416;-3;-1499;0;1020;
22422;-3;-1499;0;1020;
22428;-3;-1499;0;1020;
22434;-3;-1499;0;1020;
22440;-3;-1499;0;1020;
22446;-3;-1499;0;1020;
22452;-3;-1499;0;1020;
22458;-3;-1499;0;1020;
22464;-3;-1499;0;1020;
22473;-3;-1499;0;1020;
22479;-3;-1499;0;1020;
22485;-3;-1499;0;1020;
22491;-3;-1499;0;1020;
22497;-3;-1499;0;1020;
22503;-3;-1499;0;1020;
22509;-3;-1499;0;1020;
22515;-3;-1499;0;1020;
22521;-3;-1499;0;1020;
22527;-3;-1499;0;1020;
22533;-3;-1499;0;1020;
22539;-3;-1499;0;1020;
22545;-3;-1499;0;1020;
22551;-3;-1499;0;1020;
22557;-3;-1499;0;1020;
22563;-3;-1499;0;1020;
22569;-3;-1499;0;1020;
22575;-3;-1499;0;1020;
22581;-3;-1499;0;1020;
22587;-3;-1499;0;1020;
22593;-3;-1499;0;1020;
22599;-3;-1499;0;1020;
22605;-3;-1499;0;1020;
22611;-3;-1499;0;1020;
22617;-3;-1499;0;1020;
22623;-3;-1499;0;1020;
22629;-3;-1499;0;1020;
22635;-3;-1499;0;1020;
22641;-3;-1499;0;1020;
22647;-3;-1499;0;1020;
22653;-3;-1499;0;1020;
22659;-3;-1499;0;1020;
22665;-3;-1499;0;1020;
22671;-3;-1499;0;1020;
22677;-3;-1499;0;1020;
22683;-3;-1499;0;1020;
22689;-3;-1499;0;1020;
22695;-3;-1499;0;1020;
22701;-3;-1499;0;1020;
22707;-3;-1499;0;1020;
22713;-3;-1499;0;1020;
22719;-3;-1499;0;1020;
22725;-3;-1499;0;1020;
22731;-3;-1499;0;1020;
22737;-3;-1499;0;1020;
22743;-3;-1499;0;1020;
22749;-3;-1499;0;1020;
22755;-3;-1499;0;1020;
22761;-3;-1499;0;1020;
22767;-3;-1499;0;1020;
22773;-3;-1499;0;1020;
22779;-3;-1499;0;1020;
22785;-3;-1499;0;1020;
22791;-3;-1499;0;1020;
22797;-3;-1499;0;1020;
22803;-3;-1499;0;1020;
22809;-3;-1499;0;1020;
22815;-3;-1499;0;1020;
22821;-3;-1499;0;1020;
22827;-3;-1499;0;1020;
22833;-3;-1499;0;1020;
22839;-3;-1499;0;1020;
22845;-3;-1499;0;1020;
22851;-3;-1499;0;1020;
22857;-3;-1499;0;1020;
22863;-3;-1499;0;1020;
22869;-3;-1499;0;1020;
22875;-3;-1499;0;1020;
22881;-3;-1499;0;1020;
22887;-3;-1499;0;1020;
22893;-3;-1499;0;1020;
22899;-3;-1499;0;1020;
22905;-3;-1499;0;1020;
22911;-3;-1499;0;1020;
22917;-3;-1499;0;1020;
22923;-3;-1499;0;1020;
22929;-3;-1499;0;1020;
22935;-3;-1499;0;1020;
22941;-3;-1499;0;1020;
22947;-3;-1499;0;1020;
22953;-3;-1499;0;1020;
22959;-3;-1499;0;1020;
22965;-3;-1499;0;1020;
22971;-3;-1499;0;1020;
22977;-3;-1499;0;1020;
22983;-3;-1499;0;1020;
22989;-3;-1499;0;1020;
22995;-3;-1499;0;1020;
23001;-3;-1499;0;1020;
23007;-3;-1499;0;1020;
23013;-3;-1499;0;1020;
23019;-3;-1499;0;1020;
23025;-3;-1499;0;1020;
23031;-3;-1499;0;1020;
23037;-3;-1499;0;1020;
23043;-3;-1499;0;1020;
23049;-3;-1499;0;1020;
23055;-3;-1499;0;1020;
23061;-3;-1499;0;1020;
23067;-3;-1499;0;1020;
23073;-3;-1499;0;1020;
23079;-3;-1499;0;1020;
23088;-3;-1499;0;1020;
23094;-3;-1499;0;1020;
23100;-3;-1499;0;1020;
23106;-3;-1499;0;1020;
23112;-3;-1499;0;1020;
23118;-3;-1499;0;1020;
23124;-3;-1499;0;1020;
23130;-3;-1499;0;1020;
