 T0001159117 A+00024 V-00842 d00842 
 T0001159470 A+00023 V-00353 d00353 
 T0001159980 A+00022 V-00510 d00510 
 T0001160249 A+00021 V-00269 d00269 
 T0001161061 A+00020 V-00812 d00812 
 T0001162438 A+00018 V-00923 d00923 
 T0001163739 A+00016 V-01019 d01019 
 T0001165619 A+00012 V-00689 d00689 
 T0001167192 A+00008 V-00621 d00621 
T0001169289 A+00003 V-00422 d00422 
 T0001170784 A+00000 V-00694 d00694 
 T0001172586 A-00005 V-00315 d00315 
 T0001174413 A-00010 V-00413 d00413 
 T0001176349 A-00015 V-00294 d00294 
 T0001178242 A-00019 V-00367 d00367 
 T0001179822 A-00023 V-00314 d00314 
T0001181564 A-00027 V-00369 d00369 
T0001183749 A-00031 V-00455 d00455 
 T0001185961 A-00034 V-00904 d00904 
 T0001187537 A-00036 V-01160 d01160 
 T0001189061 A-00038 V-01020 d01020 
 T0001191606 A-00040 V-01895 d01895 
 T0001199002 A-00039 V+07396 d07396 
 T0001200900 A-00038 V+01898 d01898 
 T0001201406 A-00037 V+00506 d00506 
 T0001202038 A-00036 V+00632 d00632 
 T0001202455 A-00035 V+00417 d00417 
 T0001203327 A-00034 V+00872 d00872 
 T0001203884 A-00033 V+00557 d00557 
 T0001205513 A-00031 V+00691 d00691 
 T0001207337 A-00028 V+00610 d00610 
 T0001209279 A-00024 V+00592 d00592 
 T0001210716 A-00021 V+00408 d00408 
 T0001212677 A-00017 V+00420 d00420 
 T0001214129 A-00014 V+00675 d00675 
T0001216159 A-00009 V+00378 d00378 
 T0001217862 A-00005 V+00308 d00308 
 T0001219598 A-00001 V+00321 d00321 
 T0001221589 A+00003 V+00460 d00460 
 T0001223164 A+00006 V+00774 d00774 
 T0001225604 A+00010 V+00906 d00906 
 T0001227050 A+00013 V+00579 d00579 
 T0001229036 A+00016 V+00767 d00767 
 T0001231401 A+00018 V+01827 d01827 
 T0001232192 A+00019 V+00791 d00791 
T0001233948 A+00020 V+01756 d01756 
T0001241388 A+00020 V-06062 d06062 
 T0001243157 A+00019 V-01769 d01769 
 T0001244468 A+00018 V-01311 d01311 
 T0001244791 A+00017 V-00323 d00323 
 T0001245785 A+00016 V-00994 d00994 
 T0001246268 A+00015 V-00483 d00483 
 T0001247047 A+00014 V-00779 d00779 
 T0001248878 A+00012 V-01350 d01350 
 T0001250493 A+00009 V-00442 d00442 
 T0001252124 A+00006 V-00565 d00565 
 T0001254121 A+00002 V-00548 d00548 
 T0001255951 A-00001 V-00478 d00478 
 T0001257576 A-00004 V-00735 d00735 
 T0001259333 A-00008 V-00651 d00651 
 T0001261244 A-00012 V-00725 d00725 
 T0001263582 A-00016 V-00923 d00923 
 T0001265009 A-00019 V-00439 d00439 
 T0001266675 A-00022 V-00607 d00607 
 T0001268430 A-00025 V-00637 d00637 
 T0001270769 A-00028 V-01009 d01009 
 T0001272369 A-00030 V-01044 d01044 
 T0001274760 A-00032 V-01814 d01814 
 T0001276039 A-00033 V-01279 d01279 
 T0001278982 A-00034 V-02943 d02943 
